param_n_estimators,mean_test_score,rank_test_score
20,0.6605041265864924,10
40,0.6667440487942512,9
60,0.6834494407066389,5
80,0.6807991766533641,6
100,0.6861272462329323,2
120,0.6842865235167951,4
140,0.678378364839992,8
160,0.6795704755757304,7
180,0.6847578903918865,3
200,0.6888214128597576,1
