mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0034610748291015623,0.0011692471772645247,0.05712227821350098,0.09381631569175165,euclidean,1,"{'metric': 'euclidean', 'n_neighbors': 1}",0.00016421058917159836,-0.3153610275221137,-0.23095189757396106,-0.28313759535826244,-0.018474744339871618,-0.16955221084100744,0.13383559819140042,49
0.0036020278930664062,0.0009871375351723048,0.01998000144958496,0.01496234362014472,euclidean,3,"{'metric': 'euclidean', 'n_neighbors': 3}",0.23197602499879744,0.02471752401851801,0.07910388561053294,0.26403925601472655,0.27167293826248495,0.17430192578101197,0.10227254209480491,48
0.002511262893676758,0.0007731983700306614,0.014701604843139648,0.003640978672955886,euclidean,5,"{'metric': 'euclidean', 'n_neighbors': 5}",0.3115368296791692,0.23358620925933016,0.13872628813202625,0.3000237212821423,0.2844200132768354,0.25365861232590065,0.06333753337548477,34
0.0017891883850097655,0.0011799543025884827,0.011240005493164062,0.003528971777592165,euclidean,7,"{'metric': 'euclidean', 'n_neighbors': 7}",0.3443368239234792,0.2586321219252957,0.18418828378173968,0.2549151431048139,0.2815151740360121,0.2647175093542681,0.05145769385969721,22
0.0032986164093017577,0.0028941867480000716,0.02091679573059082,0.011294295850007997,euclidean,9,"{'metric': 'euclidean', 'n_neighbors': 9}",0.3486366771318842,0.24618208296352007,0.19418335596698433,0.25309947456453163,0.334196651900049,0.27525964850539386,0.05790976090073135,14
0.0019999027252197267,0.0006045315727844558,0.015084409713745117,0.002050056842469163,euclidean,11,"{'metric': 'euclidean', 'n_neighbors': 11}",0.29363421228119624,0.2701993529435913,0.23035354692678534,0.23042836794546984,0.3120301138829672,0.26732911879600196,0.032946118064137206,20
0.003295564651489258,0.001559243942925018,0.012633275985717774,0.0015032665307025813,euclidean,13,"{'metric': 'euclidean', 'n_neighbors': 13}",0.2684355318719286,0.2579135085158144,0.23313259635615924,0.23944063149384054,0.32271420549915897,0.26432729474738037,0.03181037827139516,23
0.0028779029846191405,0.0007981019739320074,0.01799354553222656,0.003564124347227241,euclidean,15,"{'metric': 'euclidean', 'n_neighbors': 15}",0.25257990197635793,0.255831677797729,0.2547168961501707,0.26068917776401046,0.3253726107734274,0.2698380528923391,0.027894303119858067,17
0.004064798355102539,0.0016897127353386087,0.013743257522583008,0.002024116737722442,euclidean,17,"{'metric': 'euclidean', 'n_neighbors': 17}",0.2709051310959526,0.2551186333047728,0.25509893136980644,0.2609711612213703,0.2760858002775125,0.2636359314538829,0.008489596406782736,25
0.004075145721435547,0.0006606474906216942,0.014405441284179688,0.0012036374835301094,euclidean,19,"{'metric': 'euclidean', 'n_neighbors': 19}",0.26147490717432076,0.24381291425004314,0.24739743181063112,0.2534096921964649,0.2818380960474033,0.2575866082957726,0.013522086522040826,30
0.0018887996673583984,0.00048243558284041967,0.016225719451904298,0.0018295764146366495,euclidean,21,"{'metric': 'euclidean', 'n_neighbors': 21}",0.27344257942534045,0.2502383076648469,0.23523248030058863,0.25530303868014237,0.27012815246979827,0.25686891170814335,0.013892774809577913,32
0.0031898021697998047,0.0011568629620002252,0.029074907302856445,0.01927291727544922,euclidean,23,"{'metric': 'euclidean', 'n_neighbors': 23}",0.2801716368055974,0.25634206781950175,0.24332466130132835,0.2663120298666547,0.2619832685470902,0.2616267328680345,0.012073823719246306,28
0.005091810226440429,0.002185004373454101,0.020978593826293947,0.003770664189329363,euclidean,25,"{'metric': 'euclidean', 'n_neighbors': 25}",0.281242747208707,0.24982645020554395,0.24769802681079445,0.2860142926957805,0.2603642508050855,0.26502915354518225,0.015852495986101903,21
0.002907085418701172,0.0006598466737261896,0.019299030303955078,0.0036312404912689005,euclidean,27,"{'metric': 'euclidean', 'n_neighbors': 27}",0.2918428283108785,0.2553105138974767,0.25945365397073394,0.2617226565845374,0.2532026285113359,0.2643064562549925,0.014090418490647268,24
0.003973817825317383,0.0012411012139055169,0.017982053756713866,0.0012427767107082226,euclidean,29,"{'metric': 'euclidean', 'n_neighbors': 29}",0.2952496846224235,0.24182141801486057,0.2560369696125109,0.24462301746847515,0.25727019704656473,0.25900025735296694,0.01911864382199135,29
0.0034784793853759764,0.0020209091188102546,0.025740861892700195,0.009791652210920671,euclidean,31,"{'metric': 'euclidean', 'n_neighbors': 31}",0.29498741007738183,0.24082320195796392,0.2518043569745385,0.2339376179974454,0.24133463645708553,0.252577444692883,0.02196000422162485,36
0.004321050643920898,0.0011514947547939865,0.01788039207458496,0.003882114712166607,euclidean,33,"{'metric': 'euclidean', 'n_neighbors': 33}",0.27924969092505303,0.22377895960528715,0.25314801895631756,0.23455911983419198,0.24893190331131387,0.24793353852643268,0.018821305468347108,40
0.005699968338012696,0.0033391282009285622,0.020957565307617186,0.0057594411178637644,euclidean,35,"{'metric': 'euclidean', 'n_neighbors': 35}",0.2785332056801255,0.22951379491140234,0.2549133611186599,0.24875453612499754,0.25510775930733864,0.2533645314285048,0.01567807111565354,35
0.0036292076110839844,0.0017032589850974923,0.026563167572021484,0.007128905448488438,euclidean,37,"{'metric': 'euclidean', 'n_neighbors': 37}",0.26934418183417086,0.2213631179676755,0.2484486981597237,0.26134355232204187,0.25434722974277313,0.25096935600527703,0.016367964144394384,37
