PM10_1
43.0
34.0
36.0
25.0
60.0
60.0
79.0
85.0
77.0
78.0
80.0
19.0
23.0
20.0
24.0
27.0
70.0
43.0
50.0
41.0
35.0
36.0
32.0
86.0
55.0
28.0
68.0
30.0
34.0
34.0
48.0
55.0
50.0
32.0
25.0
35.0
36.0
30.0
39.0
75.0
122.0
88.0
37.0
27.0
25.0
23.0
36.0
38.0
24.0
11.0
9.0
7.0
7.0
3.0
4.0
3.0
100.0
34.0
27.0
36.0
38.0
26.0
24.0
15.0
28.0
55.0
30.0
64.0
45.0
30.0
20.0
14.0
7.0
16.0
8.0
20.0
26.0
38.0
28.0
389.0
64.0
59.0
52.0
52.0
60.0
44.0
28.0
20.0
19.0
12.0
9.0
5.0
8.0
5.0
3.0
14.0
11.0
3.0
5.0
3.0
4.0
3.0
5.0
3.0
3.0
42.0
31.0
29.0
31.0
29.0
27.0
22.0
17.0
20.0
19.0
16.0
11.0
10.0
8.0
4.0
5.0
3.0
3.0
4.0
4.0
7.0
5.0
29.0
30.0
21.0
20.0
43.0
149.0
140.0
130.0
36.0
66.0
56.0
50.0
50.0
47.0
28.0
28.0
24.0
25.0
31.0
26.0
25.0
24.0
27.0
35.0
24.0
38.0
70.0
72.0
78.0
79.0
49.0
32.0
25.0
25.0
16.0
8.0
7.0
10.0
11.0
12.0
9.0
11.0
66.0
42.0
34.0
26.0
25.0
23.0
27.0
26.0
35.0
19.0
16.0
12.0
16.0
15.0
9.0
3.0
3.0
3.0
3.0
3.0
20.0
24.0
29.0
34.0
28.0
29.0
32.0
38.0
39.0
42.0
40.0
42.0
46.0
43.0
37.0
11.0
5.0
20.0
38.0
72.0
140.0
27.0
28.0
30.0
18.0
17.0
104.0
109.0
108.0
119.0
34.0
29.0
25.0
22.0
15.0
14.0
14.0
15.0
19.0
18.0
16.0
11.0
9.0
10.0
7.0
7.0
5.0
6.0
6.0
7.0
4.0
5.0
7.0
7.0
4.0
3.0
3.0
4.0
5.0
5.0
6.0
8.0
15.0
18.0
22.0
23.0
29.0
18.0
16.0
10.0
9.0
8.0
12.0
9.0
11.0
11.0
8.0
8.0
15.0
12.0
12.0
10.0
35.0
34.0
30.0
25.0
21.0
20.0
26.0
17.0
18.0
19.0
16.0
11.0
14.0
13.0
12.0
19.0
8.0
8.0
8.0
8.0
8.0
9.0
7.0
8.0
11.0
12.0
14.0
16.0
16.0
22.0
21.0
24.0
30.0
32.0
217.0
142.0
77.0
94.0
79.0
98.0
48.0
43.0
40.0
35.0
21.0
16.0
16.0
33.0
52.0
80.0
79.0
71.0
55.0
38.0
24.0
15.0
16.0
14.0
24.0
21.0
23.0
21.0
19.0
19.0
17.0
19.0
21.0
44.0
36.0
42.0
37.0
28.0
23.0
20.0
17.0
19.0
43.0
38.0
23.0
24.0
18.0
45.0
38.0
39.0
40.0
41.0
42.0
29.0
28.0
20.0
30.0
31.0
24.0
14.0
14.0
16.0
18.0
35.0
37.0
36.0
39.0
39.0
38.0
39.0
37.0
34.0
74.0
70.0
69.0
56.0
36.0
39.0
32.0
27.0
28.0
23.0
16.0
13.0
32.0
47.0
53.0
50.0
28.0
28.0
27.0
16.0
14.0
13.0
17.0
20.0
21.0
21.0
27.0
30.0
32.0
32.0
28.0
22.0
10.0
4.0
5.0
7.0
9.0
10.0
7.0
6.0
14.0
39.0
10.0
13.0
17.0
35.0
16.0
33.0
19.0
24.0
26.0
26.0
17.0
13.0
16.0
20.0
18.0
20.0
18.0
16.0
14.0
16.0
26.0
17.0
16.0
21.0
19.0
19.0
20.0
24.0
27.0
41.0
28.0
28.0
14.0
21.0
14.0
14.0
12.0
8.0
6.0
6.0
4.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
