mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0037510871887207033,0.0014921552545627398,0.013828659057617187,0.003560075070742903,euclidean,1,"{'metric': 'euclidean', 'n_neighbors': 1}",0.00016421058917159836,-0.3153610275221137,-0.23095189757396106,-0.28313759535826244,-0.018474744339871618,-0.16955221084100744,0.13383559819140042,49
0.0022933483123779297,0.0008688367935149496,0.011589765548706055,0.00276749067833477,euclidean,3,"{'metric': 'euclidean', 'n_neighbors': 3}",0.23197602499879744,0.02471752401851801,0.07910388561053294,0.26403925601472655,0.27167293826248495,0.17430192578101197,0.10227254209480491,48
0.0018028736114501954,0.0004052888471172181,0.011323881149291993,0.0023081369033472114,euclidean,5,"{'metric': 'euclidean', 'n_neighbors': 5}",0.3115368296791692,0.23358620925933016,0.13872628813202625,0.3000237212821423,0.2844200132768354,0.25365861232590065,0.06333753337548477,34
0.0023862361907958985,0.0010203804867898666,0.00914158821105957,0.0014157721756201443,euclidean,7,"{'metric': 'euclidean', 'n_neighbors': 7}",0.3443368239234792,0.2586321219252957,0.18418828378173968,0.2549151431048139,0.2815151740360121,0.2647175093542681,0.05145769385969721,22
0.0018111705780029298,0.0007518813097059307,0.008904504776000976,0.0011396134484969274,euclidean,9,"{'metric': 'euclidean', 'n_neighbors': 9}",0.3486366771318842,0.24618208296352007,0.19418335596698433,0.25309947456453163,0.334196651900049,0.27525964850539386,0.05790976090073135,14
0.001991415023803711,6.528665192716524e-06,0.01077733039855957,0.001960130664914382,euclidean,11,"{'metric': 'euclidean', 'n_neighbors': 11}",0.29363421228119624,0.2701993529435913,0.23035354692678534,0.23042836794546984,0.3120301138829672,0.26732911879600196,0.032946118064137206,20
0.0028710365295410156,0.0009482058621468992,0.014939451217651367,0.0042561625202302816,euclidean,13,"{'metric': 'euclidean', 'n_neighbors': 13}",0.2684355318719286,0.2579135085158144,0.23313259635615924,0.23944063149384054,0.32271420549915897,0.26432729474738037,0.03181037827139516,23
0.0035956382751464845,0.0013577719285590374,0.014857196807861328,0.0031302786218837778,euclidean,15,"{'metric': 'euclidean', 'n_neighbors': 15}",0.25257990197635793,0.255831677797729,0.2547168961501707,0.26068917776401046,0.3253726107734274,0.2698380528923391,0.027894303119858067,17
0.002486705780029297,0.0007699525488360307,0.011604642868041993,0.001700277456361351,euclidean,17,"{'metric': 'euclidean', 'n_neighbors': 17}",0.2709051310959526,0.2551186333047728,0.25509893136980644,0.2609711612213703,0.2760858002775125,0.2636359314538829,0.008489596406782736,25
0.0018061161041259765,0.000969294498003732,0.010441255569458009,0.001992370641051132,euclidean,19,"{'metric': 'euclidean', 'n_neighbors': 19}",0.26147490717432076,0.24381291425004314,0.24739743181063112,0.2534096921964649,0.2818380960474033,0.2575866082957726,0.013522086522040826,30
0.0021944522857666017,0.000400162112496772,0.01126556396484375,0.0009863383060551882,euclidean,21,"{'metric': 'euclidean', 'n_neighbors': 21}",0.27344257942534045,0.2502383076648469,0.23523248030058863,0.25530303868014237,0.27012815246979827,0.25686891170814335,0.013892774809577913,32
0.002603006362915039,0.0009959135020469526,0.03964710235595703,0.049308275618714,euclidean,23,"{'metric': 'euclidean', 'n_neighbors': 23}",0.2801716368055974,0.25634206781950175,0.24332466130132835,0.2663120298666547,0.2619832685470902,0.2616267328680345,0.012073823719246306,28
0.00429534912109375,0.0017185107121274257,0.033972883224487306,0.010660542589608243,euclidean,25,"{'metric': 'euclidean', 'n_neighbors': 25}",0.281242747208707,0.24982645020554395,0.24769802681079445,0.2860142926957805,0.2603642508050855,0.26502915354518225,0.015852495986101903,21
0.004948043823242187,0.0040187766968324806,0.050361108779907224,0.03598960429318345,euclidean,27,"{'metric': 'euclidean', 'n_neighbors': 27}",0.2918428283108785,0.2553105138974767,0.25945365397073394,0.2617226565845374,0.2532026285113359,0.2643064562549925,0.014090418490647268,24
0.004904508590698242,0.0016146896465452085,0.05181651115417481,0.04035179449475711,euclidean,29,"{'metric': 'euclidean', 'n_neighbors': 29}",0.2952496846224235,0.24182141801486057,0.2560369696125109,0.24462301746847515,0.25727019704656473,0.25900025735296694,0.01911864382199135,29
0.0035637855529785157,0.0008569542849936657,0.026700878143310548,0.003602729946218563,euclidean,31,"{'metric': 'euclidean', 'n_neighbors': 31}",0.29498741007738183,0.24082320195796392,0.2518043569745385,0.2339376179974454,0.24133463645708553,0.252577444692883,0.02196000422162485,36
0.0037298202514648438,0.0007240109402334357,0.032816600799560544,0.013662390006517358,euclidean,33,"{'metric': 'euclidean', 'n_neighbors': 33}",0.27924969092505303,0.22377895960528715,0.25314801895631756,0.23455911983419198,0.24893190331131387,0.24793353852643268,0.018821305468347108,40
0.0034894466400146483,0.0010569361391432439,0.02491726875305176,0.011109326758041813,euclidean,35,"{'metric': 'euclidean', 'n_neighbors': 35}",0.2785332056801255,0.22951379491140234,0.2549133611186599,0.24875453612499754,0.25510775930733864,0.2533645314285048,0.01567807111565354,35
0.0032989025115966798,0.000689289489528067,0.01642608642578125,0.002833665292260539,euclidean,37,"{'metric': 'euclidean', 'n_neighbors': 37}",0.26934418183417086,0.2213631179676755,0.2484486981597237,0.26134355232204187,0.25434722974277313,0.25096935600527703,0.016367964144394384,37
0.0035939693450927736,0.0007947674004300519,0.017709827423095702,0.0029834775558246628,euclidean,39,"{'metric': 'euclidean', 'n_neighbors': 39}",0.2610361936489909,0.2249579364869403,0.25225019289601724,0.2508183091127749,0.26061195302100937,0.24993491703314655,0.013169873811701597,38
0.003963327407836914,0.001039358778389238,0.02115287780761719,0.0018832851871086588,euclidean,41,"{'metric': 'euclidean', 'n_neighbors': 41}",0.25623281770132655,0.22861277703720473,0.23913728626411124,0.24691950222463188,0.2555572020414998,0.2452919170537548,0.010428821680291864,44
0.0037750244140625,0.0014940517834983525,0.018851470947265626,0.0008487555068608141,euclidean,43,"{'metric': 'euclidean', 'n_neighbors': 43}",0.2528580831401629,0.24077243351376587,0.2276620294482845,0.2563100269512004,0.25754829334539686,0.2470301732797621,0.011357775923789892,43
0.0017635345458984375,0.0008276169626074418,0.012628507614135743,0.0008937698293802869,euclidean,45,"{'metric': 'euclidean', 'n_neighbors': 45}",0.24824023497411074,0.23617028145557617,0.2378328600883347,0.25845851440228085,0.2547193638931068,0.24708425096268183,0.008873647286211076,42
0.0022136211395263673,0.0007452216022291776,0.010568046569824218,0.0013224723731039742,euclidean,47,"{'metric': 'euclidean', 'n_neighbors': 47}",0.24877944703010058,0.23829769316674831,0.23018102622335868,0.24911575382675055,0.25171464583692693,0.243617713216777,0.008139771926234527,45
0.0018733978271484376,0.0004642061190131404,0.012272071838378907,0.001231158687813262,euclidean,49,"{'metric': 'euclidean', 'n_neighbors': 49}",0.2397715968412848,0.23204902738191524,0.2130292307713344,0.2542531566668038,0.2414552152711711,0.23611164538650184,0.013567358953125126,46
0.002361154556274414,0.0008542598388247552,0.007682418823242188,0.0008767024250925118,manhattan,1,"{'metric': 'manhattan', 'n_neighbors': 1}",0.07258957802471888,-0.27514701524502194,-0.2784901818529111,-0.3791311374397852,-0.10215826408394402,-0.19246740411938867,0.15968101344822958,50
0.001991462707519531,0.0007126349659395558,0.007378673553466797,0.0007959217038832967,manhattan,3,"{'metric': 'manhattan', 'n_neighbors': 3}",0.28518811554250023,0.22105442902776207,0.14846553865270196,0.21494336918492063,0.26827683025947535,0.22758565653347204,0.04782529104707716,47
0.002573394775390625,0.0005429096385057044,0.006393289566040039,0.001001170919738455,manhattan,5,"{'metric': 'manhattan', 'n_neighbors': 5}",0.3952932605907217,0.2918639742350505,0.19031245407755493,0.33684933413821583,0.325870118000237,0.308037828208356,0.0676497763189036,5
0.0023281097412109373,0.0009650142994241713,0.006859588623046875,0.00045731859126719115,manhattan,7,"{'metric': 'manhattan', 'n_neighbors': 7}",0.4061931131995902,0.2841482173743638,0.21824536642394055,0.2892855201754164,0.3515311658087481,0.30988067659641183,0.06402218161245811,3
0.002242708206176758,0.00033860507102076627,0.0067555904388427734,0.0007173231128955246,manhattan,9,"{'metric': 'manhattan', 'n_neighbors': 9}",0.3846480607548841,0.28572638533399974,0.2392752593620271,0.29934059661909196,0.3387099985836537,0.3095400601307313,0.049194226200684296,4
