mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.15918478965759278,0.041340553747684305,0.031035566329956056,0.015259805715935295,20,{'n_estimators': 20},0.6498413920923988,0.6523784825597715,0.6971523841252806,0.7173958170852976,0.6828898299821989,0.6799315811689894,0.02597486856531645,10
0.24758434295654297,0.03059435745190742,0.03987445831298828,0.010780034862982884,40,{'n_estimators': 40},0.632778944412993,0.7016319970020477,0.6827412252697297,0.7368910639668194,0.6696510413428661,0.6847388543988912,0.034457788961340975,7
0.4157083511352539,0.09245178300488903,0.0735405445098877,0.02622613437099389,60,{'n_estimators': 60},0.6170693452259055,0.7027151205506703,0.6824531286026585,0.7647023067736818,0.6608701776836378,0.6855620157673108,0.0487196318326162,6
0.6395681381225586,0.16869022298298972,0.08325672149658203,0.019586829877193505,80,{'n_estimators': 80},0.6240327928474804,0.6848733490349573,0.6976533773280947,0.7548661915758035,0.6704731076437684,0.6863797636860209,0.042331834200616515,5
0.7857523918151855,0.10362041866523067,0.11897201538085937,0.021165181318073014,100,{'n_estimators': 100},0.6350892764054646,0.698748680809792,0.6808709832311898,0.735958302564342,0.6884456131886112,0.68782257123988,0.03245286317624484,2
1.2545571327209473,0.37460872859707367,0.20307340621948242,0.10742557543862916,120,{'n_estimators': 120},0.6311776954906645,0.6845614022554617,0.6916742484780465,0.7541809528248284,0.680550089796931,0.6884288777691865,0.03921376886811638,1
0.895220422744751,0.09016596865055987,0.12083673477172852,0.0312962600260086,140,{'n_estimators': 140},0.6281838259506489,0.6954931253820036,0.6981981759570535,0.738685108109852,0.6763496452359995,0.6873819761271115,0.03589129582904709,3
1.2104318618774415,0.30470143791882565,0.16812829971313475,0.035702909966387635,160,{'n_estimators': 160},0.6344099115713775,0.695325148382629,0.6948635370976199,0.7294503856229743,0.6610245312698422,0.6830147027888887,0.03253984621412626,8
1.2572752952575683,0.22010483167680162,0.1648414134979248,0.03233613828410345,180,{'n_estimators': 180},0.6309566705558052,0.6810008256549935,0.6873327262507714,0.7374617541215609,0.6745047100056206,0.6822513373177503,0.033960940768741496,9
1.507789707183838,0.44866843595783634,0.1713892936706543,0.02778252217655387,200,{'n_estimators': 200},0.6301739947383713,0.6944863716601702,0.6913674813457107,0.7388301610640153,0.6820032915620906,0.6873722600740717,0.03468416160513466,4
